Programme;Station;datetime;cost;profit;order_sum;male in %;new customer in %;vis
787;11;2020-01-26 17:08:00;12.0;5.764060482754509;0.039079753247239564;44.94939407978814;0.0;54
641;26;2020-01-26 17:09:00;8.0;1.6005124815773826;0.003956204945887781;30.546705639620765;44.74800172505569;36
1002;10;2020-01-26 17:19:00;12.0;-0.18798152646306387;0.013196354954124034;28.10864270172777;50.66258307889032;208
9;46;2020-01-26 17:30:00;10.0;4.4679927688283705;0.017319528248841337;39.62697286382909;0.0;27
62;40;2020-01-26 17:30:00;20.0;8.955733571994108;0.03471560689878253;74.47909395551248;0.0;54
639;35;2020-01-26 17:34:00;12.0;-0.35542891630170426;0.023914421515095263;58.10358350508109;0.0;63
641;26;2020-01-26 17:39:00;8.0;-1.3968793075436905;0.003632753295749834;93.45823516053396;11.530664575019209;36
137;32;2020-01-26 17:39:00;10.0;-1.8510861077022802;0.0048139729196052;90.41001858217795;53.587734033606594;45
546;25;2020-01-26 17:45:00;8.0;0.11171108900310305;0.0004480968286731962;0.9134856737225805;55.5467547021518;9
1481;42;2020-01-26 17:45:00;1685.0;23.81565220799125;0.09552962308771562;25.1214087706251;64.61581397811898;1234
250;43;2020-01-26 17:45:00;0.0;0.0013942632113020477;5.592684924079467e-06;94.76679919227902;56.12082888376651;0
1224;45;2020-01-26 17:50:00;45.0;0.0;0.0;27.007266979281454;0.0;54
532;31;2020-01-26 17:52:00;19.0;0.0;0.0;28.553284592168325;75.4392406329869;81
1344;1;2020-01-26 17:54:00;15.0;-1.1451746463368568;0.006021567524404585;33.96274441865735;0.0;99
1392;38;2020-01-26 17:54:00;36.0;-2.690272060562296;0.01414601250867175;80.61306899039603;9.135822123884157;226
750;8;2020-01-26 17:56:00;16.0;0.33279494515500835;0.03710362675562762;77.69563994859703;72.32904640251127;199
788;11;2020-01-26 18:07:00;12.0;0.0;0.0;0.12220431843610324;73.95008905461927;54
641;26;2020-01-26 18:09:00;8.0;-0.21935965070207764;0.041937905395664145;57.33066599718051;38.28941900160041;36
1071;10;2020-01-26 18:12:00;12.0;0.23891259351490418;0.005877455211634681;54.70925610893806;48.667433418390715;54
1222;30;2020-01-26 18:23:00;33.0;0.23014711524713183;0.0011433882192480483;39.588235550975796;0.0;181
1005;16;2020-01-26 18:26:00;242.0;-0.004947699265546869;0.033951455519648524;55.55901095832601;72.40070313161533;535
491;18;2020-01-26 18:28:00;12.0;1.398261780554254;0.005888707135052618;47.7362801237859;62.337146506352184;18
9;46;2020-01-26 18:30:00;10.0;-4.0299761406033925;0.02705542199181557;17.36003712887566;0.0;18
641;26;2020-01-26 18:34:00;8.0;1.171631937289221;0.06190801324880473;47.87415052814221;51.31717174384836;9
908;15;2020-01-26 18:35:00;9.0;1.9236986503740843;0.007383092148902188;78.68690043564582;8.388917054200657;9
377;33;2020-01-26 18:35:00;14.0;2.912266012371878;0.011177181169865815;46.20452857950661;69.16332392284095;18
170;20;2020-01-26 18:38:00;29.0;0.0;0.0;33.07428873479634;4.760573845005084;27
256;9;2020-01-26 18:39:00;24.0;0.0;0.0;2.7606867811406754;32.25461571826221;18
1226;25;2020-01-26 18:40:00;8.0;-0.2171213816546148;0.0009209792286800126;29.537878594055034;5.42727931759088;9
217;23;2020-01-26 18:44:00;17.0;3.5887762355312574;0.20873931898482614;60.100907234154434;46.00522008625504;18
713;39;2020-01-26 18:48:00;178.0;0.0;0.0;62.54479890535355;37.794588497800866;217
1224;45;2020-01-26 18:50:00;36.0;6.705256696652014;0.00957510757185479;32.900070795992306;0.0;99
983;6;2020-01-26 18:52:00;12.0;-1.7093703322794327;0.07878492009739005;66.1828693860763;0.0;36
1050;8;2020-01-26 18:56:00;16.0;0.0;0.0;0.5539704172408233;46.517444412473026;36
8;34;2020-01-26 19:00:00;10.0;2.7113329170289706;0.046475961685259255;56.10166921519657;19.51706681244834;9
1117;21;2020-01-26 19:02:00;12.0;0.317739947929376;0.001571749565287065;21.012316778476126;48.7874162060519;9
681;24;2020-01-26 19:06:00;1212.0;1.2950997522589263;0.07655568075368058;8.04255168666681;62.13749994433789;127
1072;10;2020-01-26 19:08:00;12.0;-0.007520268645300326;0.0016310763654610349;7.443468372400186;0.0;0
788;11;2020-01-26 19:09:00;12.0;-2.2825378568828234;0.03083006604585711;86.5012719574267;65.60063865518444;0
1010;25;2020-01-26 19:15:00;8.0;-0.0033036882708805367;9.171503068369712e-05;27.456648936680594;6.204078559332757;117
1230;29;2020-01-26 19:17:00;29.0;1.7985980062258875;0.03732929125426469;61.989814604964465;24.334781840239913;499
574;32;2020-01-26 19:19:00;10.0;-7.584029821868304;0.07843043227014937;76.97094310426714;31.992481677264536;199
299;9;2020-01-26 19:24:00;24.0;-3.703700438895159;0.250412187984053;98.54321377081968;0.0;517
101;26;2020-01-26 19:24:00;8.0;-1.221760103286992;0.08260485039307973;48.17731137797109;40.90840222159984;172
788;11;2020-01-26 19:27:00;12.0;0.0;0.0;62.43723929369336;22.006876167504856;108
9;46;2020-01-26 19:30:00;10.0;0.05735332037377112;0.0006581610723555762;96.16652623451917;0.0;63
639;35;2020-01-26 19:30:00;12.0;0.06795279477196174;0.0007797959034491384;70.84442232030021;32.50814895151677;81
1460;44;2020-01-26 19:38:00;28.0;3.8302466015982297;0.10023964880046508;37.896097174222184;31.93116375279854;172
983;6;2020-01-26 19:45:00;12.0;-2.0051200558257425;0.06579694487691821;65.23930986958813;72.29224175095158;108
1010;25;2020-01-26 19:45:00;8.0;-1.3588295238819097;0.04458926587473972;28.931056835099156;54.55175938710717;72
1224;45;2020-01-26 19:49:00;51.0;0.0;0.0;97.36452456913548;19.150482200415567;226
1188;8;2020-01-26 19:56:00;16.0;0.0;0.0;0.28708000028431213;0.0;0
29;46;2020-01-26 20:00:00;5.0;-3.2024892389684037;0.10144646762268796;87.0793777512174;23.848507276486473;127
0;11;2020-01-26 20:08:00;18.0;-0.5527734707893489;0.008536862035583952;71.25527001223098;13.074242938450382;117
1044;10;2020-01-26 20:10:00;18.0;0.1751834721355015;0.0006335535790778095;25.944747867691675;5.875150128115553;36
1015;15;2020-01-26 20:10:00;12.0;0.12694454502572577;0.0004590967964331952;43.28349511364903;33.518862487675456;27
141;36;2020-01-26 20:10:00;51.0;0.4424017394146542;0.0015999523355696855;35.726982729992116;4.4428299278711805;99
108;9;2020-01-26 20:11:00;18.0;1.9044102454218828;0.00714124195040376;72.42515026119358;25.780112874521528;54
1087;33;2020-01-26 20:11:00;34.0;3.5924421687285446;0.01347109887766883;66.96166262599456;0.0;90
